Unggah atau ambil foto sampah,Hasil Klasifikasi,Rekomendasi,timestamp
".gradio/flagged/Unggah atau ambil foto sampah/1433b2c82e284bdfd907/51ebZJDR4L._UF1000,1000_QL80_.jpg",Objek yang terdeteksi: **banana**,Rekomendasi penanganan: **Sampah Organik (Kompos)**,2025-08-24 18:53:59.330971
.gradio/flagged/Unggah atau ambil foto sampah/c6d4cb89af8af41014a3/png,Objek yang terdeteksi: **water bottle**,Rekomendasi penanganan: **Plastik PET (Daur ulang)**,2025-08-24 19:00:28.687593
